"";"trial_index";"task";"subject";"condition1";"type";"category";"rt";"timeout";"memory";"memoryResp";"nr_pres";"memoryCorrect";"cs_selected"
"218";217;"memory1";"04ty3gjk9u";"many_fill";"GSold";"2";"2936.649999988731";"false";"new";0;"0";"correct";"2_1/CS7"
"221";220;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"1728.739999991376";"false";"new";0;"1";"correct";"distractor_1/dis1"
"224";223;"memory1";"04ty3gjk9u";"many_fill";"GSold";"1";"1240.7600000005914";"false";"old";1;"2";"incorrect";"1_1/CS9"
"227";226;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"2";"1351.3200000015786";"false";"old";1;"3";"incorrect";"2_1/CS8_pred"
"230";229;"memory1";"04ty3gjk9u";"many_fill";"CS";"3";"1479.6349999960512";"false";"new";0;"4";"incorrect";"3_1/CS2"
"233";232;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"1029.1250000009313";"false";"new";0;"5";"correct";"distractor_1/dis3"
"236";235;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"4";"1036.2349999923026";"false";"old";1;"6";"incorrect";"4_1/GS1"
"239";238;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"4";"1490.3750000084983";"false";"old";1;"7";"incorrect";"4_1/CS8_pred"
"242";241;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"3";"947.4999999947613";"false";"old";1;"8";"incorrect";"3_1/GS1"
"245";244;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"4";"856.5850000013597";"false";"old";1;"9";"incorrect";"4_1/CS8_unpred"
"248";247;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"1";"796.184999999241";"false";"old";1;"10";"incorrect";"1_1/CS10_unpred"
"251";250;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"1";"656.7349999968428";"false";"new";0;"11";"correct";"1_1/CS10_pred"
"254";253;"memory1";"04ty3gjk9u";"many_fill";"GSold";"3";"788.990000000922";"false";"old";1;"12";"incorrect";"3_1/CS9"
"257";256;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"919.7850000055041";"false";"new";0;"13";"correct";"distractor_1/dis2"
"260";259;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"3";"1174.42999999912";"false";"old";1;"14";"incorrect";"3_1/CS2_pred"
"263";262;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"801.9350000104168";"false";"old";1;"15";"incorrect";"distractor_1/dis4"
"266";265;"memory1";"04ty3gjk9u";"many_fill";"CS";"2";"1251.4049999881536";"false";"new";0;"16";"incorrect";"2_1/CS8"
"269";268;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"3";"1101.3650000095367";"false";"old";1;"17";"incorrect";"3_1/CS2_unpred"
"272";271;"memory1";"04ty3gjk9u";"many_fill";"CS";"4";"773.5300000058487";"false";"new";0;"18";"incorrect";"4_1/CS8"
"275";274;"memory1";"04ty3gjk9u";"many_fill";"CS";"1";"1023.6949999962235";"false";"new";0;"19";"incorrect";"1_1/CS10"
"278";277;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"1";"1187.7800000074785";"false";"old";1;"20";"incorrect";"1_1/GS1"
"281";280;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"2";"1624.565000005532";"false";"new";0;"21";"correct";"2_1/GS1"
"284";283;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"2";"823.9150000008522";"false";"new";0;"22";"correct";"2_1/CS8_unpred"
"287";286;"memory1";"04ty3gjk9u";"many_fill";"GSold";"4";"1078.0399999930523";"false";"old";1;"23";"incorrect";"4_1/CS2"
"920";217;"memory1";"0zq54143a6";"many_fill";"GSold";"2";"null";"true";"miss";NA;"0";"miss";"2_1/CS6"
"923";220;"memory1";"0zq54143a6";"many_fill";"CSpred";"2";"3780";"false";"old";1;"1";"incorrect";"2_1/CS7_pred"
"926";223;"memory1";"0zq54143a6";"many_fill";"GSnew";"4";"1236";"false";"old";1;"2";"incorrect";"4_1/GS1"
"929";226;"memory1";"0zq54143a6";"many_fill";"CS";"3";"1004";"false";"old";1;"3";"correct";"3_1/CS4"
"932";229;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"901";"false";"new";0;"4";"correct";"distractor_1/dis2"
"935";232;"memory1";"0zq54143a6";"many_fill";"GSnew";"3";"881";"false";"new";0;"5";"correct";"3_1/GS1"
"938";235;"memory1";"0zq54143a6";"many_fill";"GSold";"1";"1525";"false";"new";0;"6";"correct";"1_1/CS9"
"941";238;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"2";"1343";"false";"new";0;"7";"correct";"2_1/CS7_unpred"
"944";241;"memory1";"0zq54143a6";"many_fill";"CSpred";"3";"1197";"false";"old";1;"8";"incorrect";"3_1/CS4_pred"
"947";244;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"1333";"false";"new";0;"9";"correct";"distractor_1/dis1"
"950";247;"memory1";"0zq54143a6";"many_fill";"CSpred";"1";"917";"false";"new";0;"10";"correct";"1_1/CS4_pred"
"953";250;"memory1";"0zq54143a6";"many_fill";"CSpred";"4";"895";"false";"old";1;"11";"incorrect";"4_1/CS2_pred"
"956";253;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"1239";"false";"new";0;"12";"correct";"distractor_1/dis4"
"959";256;"memory1";"0zq54143a6";"many_fill";"GSold";"3";"828";"false";"new";0;"13";"correct";"3_1/CS1"
"962";259;"memory1";"0zq54143a6";"many_fill";"GSnew";"2";"1156";"false";"old";1;"14";"incorrect";"2_1/GS1"
"965";262;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"3";"1003";"false";"old";1;"15";"incorrect";"3_1/CS4_unpred"
"968";265;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"1";"1227";"false";"old";1;"16";"incorrect";"1_1/CS4_unpred"
"971";268;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"4";"759";"false";"old";1;"17";"incorrect";"4_1/CS2_unpred"
"974";271;"memory1";"0zq54143a6";"many_fill";"CS";"2";"1050";"false";"old";1;"18";"correct";"2_1/CS7"
"977";274;"memory1";"0zq54143a6";"many_fill";"CS";"4";"667";"false";"old";1;"19";"correct";"4_1/CS2"
"980";277;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"819";"false";"new";0;"20";"correct";"distractor_1/dis3"
"983";280;"memory1";"0zq54143a6";"many_fill";"GSold";"4";"990";"false";"new";0;"21";"correct";"4_1/CS8"
"986";283;"memory1";"0zq54143a6";"many_fill";"CS";"1";"1117";"false";"old";1;"22";"correct";"1_1/CS4"
"989";286;"memory1";"0zq54143a6";"many_fill";"GSnew";"1";"1643";"false";"new";0;"23";"correct";"1_1/GS1"
"1271";217;"memory1";"19k5554njc";"many_fill";"GSold";"4";"113";"false";"new";0;"0";"correct";"4_1/CS3"
"1274";220;"memory1";"19k5554njc";"many_fill";"distractor";NA;"1077";"false";"new";0;"1";"correct";"distractor_1/dis2"
"1277";223;"memory1";"19k5554njc";"many_fill";"CSpred";"1";"1017";"false";"old";1;"2";"incorrect";"1_1/CS4_pred"
"1280";226;"memory1";"19k5554njc";"many_fill";"distractor";NA;"711";"false";"old";1;"3";"incorrect";"distractor_1/dis1"
"1283";229;"memory1";"19k5554njc";"many_fill";"distractor";NA;"707";"false";"new";0;"4";"correct";"distractor_1/dis4"
"1286";232;"memory1";"19k5554njc";"many_fill";"CS";"4";"756";"false";"old";1;"5";"correct";"4_1/CS10"
"1289";235;"memory1";"19k5554njc";"many_fill";"GSold";"1";"1121";"false";"new";0;"6";"correct";"1_1/CS8"
"1292";238;"memory1";"19k5554njc";"many_fill";"CSnonpred";"1";"964";"false";"old";1;"7";"incorrect";"1_1/CS4_unpred"
"1295";241;"memory1";"19k5554njc";"many_fill";"CS";"1";"1022";"false";"old";1;"8";"correct";"1_1/CS4"
"1298";244;"memory1";"19k5554njc";"many_fill";"CS";"3";"771";"false";"old";1;"9";"correct";"3_1/CS4"
"1301";247;"memory1";"19k5554njc";"many_fill";"CSnonpred";"4";"826";"false";"old";1;"10";"incorrect";"4_1/CS10_unpred"
"1304";250;"memory1";"19k5554njc";"many_fill";"CSnonpred";"3";"838";"false";"old";1;"11";"incorrect";"3_1/CS4_unpred"
"1307";253;"memory1";"19k5554njc";"many_fill";"GSnew";"1";"928";"false";"new";0;"12";"correct";"1_1/GS1"
"1310";256;"memory1";"19k5554njc";"many_fill";"GSold";"3";"798";"false";"new";0;"13";"correct";"3_1/CS10"
"1313";259;"memory1";"19k5554njc";"many_fill";"CSnonpred";"2";"739";"false";"old";1;"14";"incorrect";"2_1/CS2_unpred"
"1316";262;"memory1";"19k5554njc";"many_fill";"CSpred";"3";"792";"false";"old";1;"15";"incorrect";"3_1/CS4_pred"
"1319";265;"memory1";"19k5554njc";"many_fill";"GSnew";"3";"1000";"false";"new";0;"16";"correct";"3_1/GS1"
"1322";268;"memory1";"19k5554njc";"many_fill";"CS";"2";"1030";"false";"old";1;"17";"correct";"2_1/CS2"
"1325";271;"memory1";"19k5554njc";"many_fill";"GSnew";"4";"1404";"false";"new";0;"18";"correct";"4_1/GS1"
"1328";274;"memory1";"19k5554njc";"many_fill";"distractor";NA;"930";"false";"new";0;"19";"correct";"distractor_1/dis3"
"1331";277;"memory1";"19k5554njc";"many_fill";"CSpred";"2";"1176";"false";"new";0;"20";"correct";"2_1/CS2_pred"
"1334";280;"memory1";"19k5554njc";"many_fill";"GSold";"2";"1358";"false";"new";0;"21";"correct";"2_1/CS6"
"1337";283;"memory1";"19k5554njc";"many_fill";"CSpred";"4";"772";"false";"old";1;"22";"incorrect";"4_1/CS10_pred"
"1340";286;"memory1";"19k5554njc";"many_fill";"GSnew";"2";"1150";"false";"new";0;"23";"correct";"2_1/GS1"
"1622";217;"memory1";"1kkguek4q5";"one_one";"CSpred";"2";"841";"false";"new";0;"0";"correct";"2_1/CS9_pred"
"1625";220;"memory1";"1kkguek4q5";"one_one";"CS";"2";"null";"true";"miss";NA;"1";"miss";"2_1/CS9"
"1628";223;"memory1";"1kkguek4q5";"one_one";"CS";"4";"1887";"false";"old";1;"2";"correct";"4_1/CS9"
"1631";226;"memory1";"1kkguek4q5";"one_one";"GSold";"2";"832";"false";"old";1;"3";"incorrect";"2_1/CS5"
"1634";229;"memory1";"1kkguek4q5";"one_one";"CS";"3";"1574";"false";"old";1;"4";"correct";"3_1/CS6"
"1637";232;"memory1";"1kkguek4q5";"one_one";"CS";"1";"1265";"false";"new";0;"5";"incorrect";"1_1/CS2"
"1640";235;"memory1";"1kkguek4q5";"one_one";"GSnew";"4";"169";"false";"new";0;"6";"correct";"4_1/GS1"
"1643";238;"memory1";"1kkguek4q5";"one_one";"GSnew";"1";"862";"false";"old";1;"7";"incorrect";"1_1/GS1"
"1646";241;"memory1";"1kkguek4q5";"one_one";"distractor";NA;"903";"false";"new";0;"8";"correct";"distractor_1/dis1"
"1649";244;"memory1";"1kkguek4q5";"one_one";"CSnonpred";"3";"1021.0000000001164";"false";"new";0;"9";"correct";"3_1/CS6_unpred"
"1652";247;"memory1";"1kkguek4q5";"one_one";"distractor";NA;"727";"false";"old";1;"10";"incorrect";"distractor_1/dis2"
"1655";250;"memory1";"1kkguek4q5";"one_one";"CSnonpred";"4";"1250";"false";"new";0;"11";"correct";"4_1/CS9_unpred"
"1658";253;"memory1";"1kkguek4q5";"one_one";"GSold";"1";"752";"false";"old";1;"12";"incorrect";"1_1/CS7"
"1661";256;"memory1";"1kkguek4q5";"one_one";"CSpred";"3";"1470";"false";"new";0;"13";"correct";"3_1/CS6_pred"
"1664";259;"memory1";"1kkguek4q5";"one_one";"distractor";NA;"819";"false";"new";0;"14";"correct";"distractor_1/dis3"
"1667";262;"memory1";"1kkguek4q5";"one_one";"GSnew";"2";"625";"false";"new";0;"15";"correct";"2_1/GS1"
"1670";265;"memory1";"1kkguek4q5";"one_one";"CSnonpred";"2";"960";"false";"old";1;"16";"incorrect";"2_1/CS9_unpred"
"1673";268;"memory1";"1kkguek4q5";"one_one";"GSnew";"3";"1490";"false";"new";0;"17";"correct";"3_1/GS1"
"1676";271;"memory1";"1kkguek4q5";"one_one";"CSpred";"1";"1326";"false";"old";1;"18";"incorrect";"1_1/CS2_pred"
"1679";274;"memory1";"1kkguek4q5";"one_one";"CSpred";"4";"975";"false";"old";1;"19";"incorrect";"4_1/CS9_pred"
"1682";277;"memory1";"1kkguek4q5";"one_one";"CSnonpred";"1";"847";"false";"new";0;"20";"correct";"1_1/CS2_unpred"
"1685";280;"memory1";"1kkguek4q5";"one_one";"distractor";NA;"1604";"false";"old";1;"21";"incorrect";"distractor_1/dis4"
"1688";283;"memory1";"1kkguek4q5";"one_one";"GSold";"3";"1188.9999999998836";"false";"new";0;"22";"correct";"3_1/CS9"
"1691";286;"memory1";"1kkguek4q5";"one_one";"GSold";"4";"1075.0000000001164";"false";"new";0;"23";"correct";"4_1/CS10"
"1973";217;"memory1";"1x6x8bednv";"many_one";"distractor";NA;"3342.049999977462";"false";"new";0;"0";"correct";"distractor_1/dis1"
"1976";220;"memory1";"1x6x8bednv";"many_one";"distractor";NA;"765.0949999806471";"false";"new";0;"1";"correct";"distractor_1/dis2"
"1979";223;"memory1";"1x6x8bednv";"many_one";"GSold";"4";"1091.1750000086613";"false";"new";0;"2";"correct";"4_1/CS4"
"1982";226;"memory1";"1x6x8bednv";"many_one";"CS";"2";"1024.1950000054203";"false";"old";1;"3";"correct";"2_1/CS6"
"1985";229;"memory1";"1x6x8bednv";"many_one";"CSnonpred";"2";"688.0549999768846";"false";"old";1;"4";"incorrect";"2_1/CS6_unpred"
"1988";232;"memory1";"1x6x8bednv";"many_one";"distractor";NA;"1123.3650000067428";"false";"new";0;"5";"correct";"distractor_1/dis4"
"1991";235;"memory1";"1x6x8bednv";"many_one";"CSpred";"3";"581.8750000325963";"false";"old";1;"6";"incorrect";"3_1/CS9_pred"
"1994";238;"memory1";"1x6x8bednv";"many_one";"CS";"1";"1227.004999993369";"false";"new";0;"7";"incorrect";"1_1/CS1"
"1997";241;"memory1";"1x6x8bednv";"many_one";"GSnew";"4";"943.0900000152178";"false";"old";1;"8";"incorrect";"4_1/GS1"
"2000";244;"memory1";"1x6x8bednv";"many_one";"CSpred";"1";"1227.2099999827333";"false";"old";1;"9";"incorrect";"1_1/CS1_pred"
"2003";247;"memory1";"1x6x8bednv";"many_one";"GSnew";"3";"820.049999980256";"false";"old";1;"10";"incorrect";"3_1/GS1"
"2006";250;"memory1";"1x6x8bednv";"many_one";"GSnew";"1";"1096.2949999957345";"false";"old";1;"11";"incorrect";"1_1/GS1"
"2009";253;"memory1";"1x6x8bednv";"many_one";"CSpred";"4";"721.1399999796413";"false";"old";1;"12";"incorrect";"4_1/CS5_pred"
"2012";256;"memory1";"1x6x8bednv";"many_one";"CS";"4";"549.6949999942444";"false";"old";1;"13";"correct";"4_1/CS5"
"2015";259;"memory1";"1x6x8bednv";"many_one";"CSnonpred";"1";"759.7299999906681";"false";"new";0;"14";"correct";"1_1/CS1_unpred"
"2018";262;"memory1";"1x6x8bednv";"many_one";"GSnew";"2";"1073.0899999616668";"false";"new";0;"15";"correct";"2_1/GS1"
"2021";265;"memory1";"1x6x8bednv";"many_one";"CSnonpred";"4";"834.0750000206754";"false";"new";0;"16";"correct";"4_1/CS5_unpred"
"2024";268;"memory1";"1x6x8bednv";"many_one";"CSnonpred";"3";"558.2900000154041";"false";"old";1;"17";"incorrect";"3_1/CS9_unpred"
"2027";271;"memory1";"1x6x8bednv";"many_one";"GSold";"2";"808.6600000387989";"false";"old";1;"18";"incorrect";"2_1/CS8"
"2030";274;"memory1";"1x6x8bednv";"many_one";"CS";"3";"595.0550000416115";"false";"old";1;"19";"correct";"3_1/CS9"
"2033";277;"memory1";"1x6x8bednv";"many_one";"GSold";"3";"716.5800000075251";"false";"old";1;"20";"incorrect";"3_1/CS5"
"2036";280;"memory1";"1x6x8bednv";"many_one";"GSold";"1";"818.1050000130199";"false";"new";0;"21";"correct";"1_1/CS6"
"2039";283;"memory1";"1x6x8bednv";"many_one";"CSpred";"2";"791.800000006333";"false";"old";1;"22";"incorrect";"2_1/CS6_pred"
"2042";286;"memory1";"1x6x8bednv";"many_one";"distractor";NA;"1847.8049999685027";"false";"new";0;"23";"correct";"distractor_1/dis3"
"2324";217;"memory1";"23ovhx752x";"many_one";"CS";"1";"2812.3000000050524";"false";"new";0;"0";"incorrect";"1_1/CS7"
"2327";220;"memory1";"23ovhx752x";"many_one";"GSold";"3";"1303.395000009914";"false";"new";0;"1";"correct";"3_1/CS7"
"2330";223;"memory1";"23ovhx752x";"many_one";"CSnonpred";"2";"1059.305000002496";"false";"old";1;"2";"incorrect";"2_1/CS8_unpred"
"2333";226;"memory1";"23ovhx752x";"many_one";"GSold";"4";"1161.4899999985937";"false";"old";1;"3";"incorrect";"4_1/CS5"
"2336";229;"memory1";"23ovhx752x";"many_one";"GSold";"2";"1064.8050000017975";"false";"old";1;"4";"incorrect";"2_1/CS7"
"2339";232;"memory1";"23ovhx752x";"many_one";"CS";"3";"725.7399999944028";"false";"old";1;"5";"correct";"3_1/CS5"
"2342";235;"memory1";"23ovhx752x";"many_one";"distractor";NA;"956.3649999909103";"false";"new";0;"6";"correct";"distractor_1/dis2"
"2345";238;"memory1";"23ovhx752x";"many_one";"CSpred";"3";"873.9000000059605";"false";"old";1;"7";"incorrect";"3_1/CS5_pred"
"2348";241;"memory1";"23ovhx752x";"many_one";"distractor";NA;"1016.2249999993946";"false";"old";1;"8";"incorrect";"distractor_1/dis4"
"2351";244;"memory1";"23ovhx752x";"many_one";"CSnonpred";"3";"1060.459999993327";"false";"old";1;"9";"incorrect";"3_1/CS5_unpred"
"2354";247;"memory1";"23ovhx752x";"many_one";"GSold";"1";"2150.1900000002934";"false";"old";1;"10";"incorrect";"1_1/CS3"
"2357";250;"memory1";"23ovhx752x";"many_one";"distractor";NA;"694.3049999972573";"false";"new";0;"11";"correct";"distractor_1/dis3"
"2360";253;"memory1";"23ovhx752x";"many_one";"CSnonpred";"4";"916.6949999926146";"false";"old";1;"12";"incorrect";"4_1/CS10_unpred"
"2363";256;"memory1";"23ovhx752x";"many_one";"CSpred";"4";"565.8499999990454";"false";"old";1;"13";"incorrect";"4_1/CS10_pred"
"2366";259;"memory1";"23ovhx752x";"many_one";"GSnew";"2";"749.710000003688";"false";"new";0;"14";"correct";"2_1/GS1"
"2369";262;"memory1";"23ovhx752x";"many_one";"CSnonpred";"1";"713.369999997667";"false";"new";0;"15";"correct";"1_1/CS7_unpred"
"2372";265;"memory1";"23ovhx752x";"many_one";"CSpred";"1";"1162.624999997206";"false";"old";1;"16";"incorrect";"1_1/CS7_pred"
"2375";268;"memory1";"23ovhx752x";"many_one";"GSnew";"3";"667.4050000001444";"false";"new";0;"17";"correct";"3_1/GS1"
"2378";271;"memory1";"23ovhx752x";"many_one";"GSnew";"1";"308.019999996759";"false";"new";0;"18";"correct";"1_1/GS1"
"2381";274;"memory1";"23ovhx752x";"many_one";"CSpred";"2";"600.5400000140071";"false";"new";0;"19";"correct";"2_1/CS8_pred"
"2384";277;"memory1";"23ovhx752x";"many_one";"CS";"4";"826.6750000038883";"false";"old";1;"20";"correct";"4_1/CS10"
"2387";280;"memory1";"23ovhx752x";"many_one";"distractor";NA;"1073.3199999958742";"false";"new";0;"21";"correct";"distractor_1/dis1"
"2390";283;"memory1";"23ovhx752x";"many_one";"GSnew";"4";"660.6199999951059";"false";"new";0;"22";"correct";"4_1/GS1"
"2393";286;"memory1";"23ovhx752x";"many_one";"CS";"2";"568.0049999937182";"false";"old";1;"23";"correct";"2_1/CS8"
"2675";217;"memory1";"25xs5p6ax2";"many_one";"CSnonpred";"1";"2130.6899999980815";"false";"new";0;"0";"correct";"1_1/CS4_unpred"
"2678";220;"memory1";"25xs5p6ax2";"many_one";"GSold";"4";"1572.1300000005867";"false";"new";0;"1";"correct";"4_1/CS4"
"2681";223;"memory1";"25xs5p6ax2";"many_one";"GSnew";"4";"1159.260000000475";"false";"new";0;"2";"correct";"4_1/GS1"
"2684";226;"memory1";"25xs5p6ax2";"many_one";"CS";"1";"1733.2549999991897";"false";"old";1;"3";"correct";"1_1/CS4"
"2687";229;"memory1";"25xs5p6ax2";"many_one";"CSpred";"3";"700.324999997858";"false";"old";1;"4";"incorrect";"3_1/CS9_pred"
"2690";232;"memory1";"25xs5p6ax2";"many_one";"CS";"3";"1293.6699999989942";"false";"old";1;"5";"correct";"3_1/CS9"
"2693";235;"memory1";"25xs5p6ax2";"many_one";"CS";"4";"1325.3000000002794";"false";"old";1;"6";"correct";"4_1/CS6"
"2696";238;"memory1";"25xs5p6ax2";"many_one";"CS";"2";"865.3649999976624";"false";"old";1;"7";"correct";"2_1/CS7"
"2699";241;"memory1";"25xs5p6ax2";"many_one";"CSpred";"4";"1862.7200000009034";"false";"old";1;"8";"incorrect";"4_1/CS6_pred"
"2702";244;"memory1";"25xs5p6ax2";"many_one";"GSold";"2";"1671.7650000029244";"false";"new";0;"9";"correct";"2_1/CS8"
"2705";247;"memory1";"25xs5p6ax2";"many_one";"GSnew";"1";"1624.8400000003166";"false";"new";0;"10";"correct";"1_1/GS1"
"2708";250;"memory1";"25xs5p6ax2";"many_one";"distractor";NA;"830.5599999986589";"false";"new";0;"11";"correct";"distractor_1/dis1"
"2711";253;"memory1";"25xs5p6ax2";"many_one";"CSnonpred";"4";"1143.3099999995902";"false";"old";1;"12";"incorrect";"4_1/CS6_unpred"
"2714";256;"memory1";"25xs5p6ax2";"many_one";"CSnonpred";"3";"786.7949999999255";"false";"old";1;"13";"incorrect";"3_1/CS9_unpred"
"2717";259;"memory1";"25xs5p6ax2";"many_one";"GSold";"1";"1136.2650000010617";"false";"old";1;"14";"incorrect";"1_1/CS1"
"2720";262;"memory1";"25xs5p6ax2";"many_one";"distractor";NA;"1346.700000002049";"false";"new";0;"15";"correct";"distractor_1/dis2"
"2723";265;"memory1";"25xs5p6ax2";"many_one";"GSold";"3";"921.4700000011362";"false";"old";1;"16";"incorrect";"3_1/CS3"
"2726";268;"memory1";"25xs5p6ax2";"many_one";"CSpred";"1";"1309.470000000205";"false";"old";1;"17";"incorrect";"1_1/CS4_pred"
"2729";271;"memory1";"25xs5p6ax2";"many_one";"CSnonpred";"2";"874.7450000010431";"false";"old";1;"18";"incorrect";"2_1/CS7_unpred"
"2732";274;"memory1";"25xs5p6ax2";"many_one";"distractor";NA;"966.8149999999441";"false";"new";0;"19";"correct";"distractor_1/dis4"
"2735";277;"memory1";"25xs5p6ax2";"many_one";"distractor";NA;"1041.404999999795";"false";"new";0;"20";"correct";"distractor_1/dis3"
"2738";280;"memory1";"25xs5p6ax2";"many_one";"GSnew";"3";"859.2949999985285";"false";"new";0;"21";"correct";"3_1/GS1"
"2741";283;"memory1";"25xs5p6ax2";"many_one";"GSnew";"2";"1019.8750000018626";"false";"new";0;"22";"correct";"2_1/GS1"
"2744";286;"memory1";"25xs5p6ax2";"many_one";"CSpred";"2";"731.7299999995157";"false";"old";1;"23";"incorrect";"2_1/CS7_pred"
"3026";217;"memory1";"28bx3hmnkl";"one_one";"CSnonpred";"4";"null";"true";"miss";NA;"0";"miss";"4_1/CS5_unpred"
"3029";220;"memory1";"28bx3hmnkl";"one_one";"CS";"2";"1457";"false";"old";1;"1";"correct";"2_1/CS10"
"3032";223;"memory1";"28bx3hmnkl";"one_one";"CS";"4";"1206";"false";"old";1;"2";"correct";"4_1/CS5"
"3035";226;"memory1";"28bx3hmnkl";"one_one";"CSnonpred";"1";"1649";"false";"old";1;"3";"incorrect";"1_1/CS8_unpred"
"3038";229;"memory1";"28bx3hmnkl";"one_one";"CSpred";"1";"2913";"false";"new";0;"4";"correct";"1_1/CS8_pred"
"3041";232;"memory1";"28bx3hmnkl";"one_one";"CSnonpred";"2";"2706";"false";"old";1;"5";"incorrect";"2_1/CS10_unpred"
"3044";235;"memory1";"28bx3hmnkl";"one_one";"GSold";"3";"1609";"false";"new";0;"6";"correct";"3_1/CS7"
"3047";238;"memory1";"28bx3hmnkl";"one_one";"CSpred";"2";"1582";"false";"new";0;"7";"correct";"2_1/CS10_pred"
"3050";241;"memory1";"28bx3hmnkl";"one_one";"distractor";NA;"1118";"false";"new";0;"8";"correct";"distractor_1/dis1"
"3053";244;"memory1";"28bx3hmnkl";"one_one";"CSnonpred";"3";"2689";"false";"old";1;"9";"incorrect";"3_1/CS10_unpred"
"3056";247;"memory1";"28bx3hmnkl";"one_one";"GSnew";"3";"1336";"false";"new";0;"10";"correct";"3_1/GS1"
"3059";250;"memory1";"28bx3hmnkl";"one_one";"GSold";"4";"1822";"false";"new";0;"11";"correct";"4_1/CS7"
"3062";253;"memory1";"28bx3hmnkl";"one_one";"distractor";NA;"781";"false";"new";0;"12";"correct";"distractor_1/dis2"
"3065";256;"memory1";"28bx3hmnkl";"one_one";"GSold";"1";"826";"false";"new";0;"13";"correct";"1_1/CS1"
"3068";259;"memory1";"28bx3hmnkl";"one_one";"CSpred";"4";"1840";"false";"old";1;"14";"incorrect";"4_1/CS5_pred"
"3071";262;"memory1";"28bx3hmnkl";"one_one";"GSnew";"2";"915";"false";"new";0;"15";"correct";"2_1/GS1"
"3074";265;"memory1";"28bx3hmnkl";"one_one";"distractor";NA;"708";"false";"new";0;"16";"correct";"distractor_1/dis4"
"3077";268;"memory1";"28bx3hmnkl";"one_one";"GSnew";"4";"645";"false";"new";0;"17";"correct";"4_1/GS1"
"3080";271;"memory1";"28bx3hmnkl";"one_one";"GSnew";"1";"741";"false";"new";0;"18";"correct";"1_1/GS1"
"3083";274;"memory1";"28bx3hmnkl";"one_one";"CSpred";"3";"1898";"false";"old";1;"19";"incorrect";"3_1/CS10_pred"
"3086";277;"memory1";"28bx3hmnkl";"one_one";"CS";"3";"916";"false";"old";1;"20";"correct";"3_1/CS10"
"3089";280;"memory1";"28bx3hmnkl";"one_one";"distractor";NA;"725";"false";"new";0;"21";"correct";"distractor_1/dis3"
"3092";283;"memory1";"28bx3hmnkl";"one_one";"CS";"1";"2523";"false";"old";1;"22";"correct";"1_1/CS8"
"3095";286;"memory1";"28bx3hmnkl";"one_one";"GSold";"2";"888";"false";"new";0;"23";"correct";"2_1/CS7"
"3728";217;"memory1";"2lgd2prbaa";"many_fill";"GSold";"2";"314.78000013157725";"false";"new";0;"0";"correct";"2_1/CS1"
"3731";220;"memory1";"2lgd2prbaa";"many_fill";"CSnonpred";"4";"481.340000173077";"false";"old";1;"1";"incorrect";"4_1/CS9_unpred"
"3734";223;"memory1";"2lgd2prbaa";"many_fill";"GSold";"1";"743.4549999888986";"false";"old";1;"2";"incorrect";"1_1/CS6"
"3737";226;"memory1";"2lgd2prbaa";"many_fill";"CSnonpred";"2";"946.1199999786913";"false";"new";0;"3";"correct";"2_1/CS6_unpred"
"3740";229;"memory1";"2lgd2prbaa";"many_fill";"GSnew";"1";"814.1649998724461";"false";"new";0;"4";"correct";"1_1/GS1"
"3743";232;"memory1";"2lgd2prbaa";"many_fill";"CS";"3";"638.0849999841303";"false";"old";1;"5";"correct";"3_1/CS3"
"3746";235;"memory1";"2lgd2prbaa";"many_fill";"distractor";NA;"1015.0500000454485";"false";"new";0;"6";"correct";"distractor_1/dis4"
"3749";238;"memory1";"2lgd2prbaa";"many_fill";"GSnew";"2";"487.26999992504716";"false";"old";1;"7";"incorrect";"2_1/GS1"
"3752";241;"memory1";"2lgd2prbaa";"many_fill";"CS";"2";"527.6549998670816";"false";"new";0;"8";"incorrect";"2_1/CS6"
"3755";244;"memory1";"2lgd2prbaa";"many_fill";"distractor";NA;"348.71000004932284";"false";"new";0;"9";"correct";"distractor_1/dis2"
