"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"897";194;"direct";"0zq54143a6";"CS";"2";-100;"2006";"2_3/CS2"
"898";195;"direct";"0zq54143a6";"CS";"1";-100;"2543";"1_3/CS1"
"899";196;"direct";"0zq54143a6";"CS";"3";-59;"3953";"3_3/CS9"
"900";197;"direct";"0zq54143a6";"CS";"3";32;"2254";"3_3/CS5"
"901";198;"direct";"0zq54143a6";"CS";"2";-66;"3030";"2_3/CS4"
"902";199;"direct";"0zq54143a6";"CS";"1";47;"3371";"1_3/CS3"
"903";200;"direct";"0zq54143a6";"CS";"4";-57;"2548";"4_3/CS4"
"904";201;"direct";"0zq54143a6";"CS";"3";-100;"2054";"3_3/CS1"
"905";202;"direct";"0zq54143a6";"CS";"4";-100;"2126";"4_3/CS11"
"906";203;"direct";"0zq54143a6";"CS";"2";-35;"2117";"2_3/CS7"
"907";204;"direct";"0zq54143a6";"CS";"2";-100;"1793";"2_3/CS10"
"908";205;"direct";"0zq54143a6";"CS";"1";-49;"2223";"1_3/CS7"
"909";206;"direct";"0zq54143a6";"CS";"2";-72;"4305";"2_3/CS5"
"910";207;"direct";"0zq54143a6";"CS";"4";-100;"2046";"4_3/CS5"
"911";208;"direct";"0zq54143a6";"CS";"3";-100;"2245";"3_3/CS2"
"912";209;"direct";"0zq54143a6";"CS";"1";-100;"2474";"1_3/CS11"
"913";210;"direct";"0zq54143a6";"CS";"1";-54;"2295";"1_3/CS12"
"914";211;"direct";"0zq54143a6";"CS";"1";-69;"2306";"1_3/CS2"
"915";212;"direct";"0zq54143a6";"CS";"3";-100;"1975";"3_3/CS3"
"916";213;"direct";"0zq54143a6";"CS";"4";-100;"1974";"4_3/CS8"
"917";214;"direct";"0zq54143a6";"CS";"4";54;"2544";"4_3/CS7"
"1229";175;"direct";"19k5554njc";"CS";"4";-53;"3829";"4_3/CS1"
"1230";176;"direct";"19k5554njc";"CS";"1";100;"3210";"1_3/CS10"
"1231";177;"direct";"19k5554njc";"CS";"4";-63;"2577";"4_3/CS7"
"1232";178;"direct";"19k5554njc";"CS";"1";61;"2269";"1_3/CS7"
"1233";179;"direct";"19k5554njc";"CS";"1";89;"2414";"1_3/CS4"
"1234";180;"direct";"19k5554njc";"CS";"3";-100;"2852";"3_3/CS1"
"1235";181;"direct";"19k5554njc";"CS";"2";-10;"2741";"2_3/CS3"
"1236";182;"direct";"19k5554njc";"CS";"1";-37;"4098";"1_3/CS1"
"1237";183;"direct";"19k5554njc";"CS";"3";-17;"2958";"3_3/CS10"
"1238";184;"direct";"19k5554njc";"CS";"3";-62;"3100";"3_3/CS9"
"1239";185;"direct";"19k5554njc";"CS";"4";-90;"2483";"4_3/CS8"
"1240";186;"direct";"19k5554njc";"CS";"3";25;"2708";"3_3/CS4"
"1241";187;"direct";"19k5554njc";"CS";"2";-68;"2602";"2_3/CS4"
"1242";188;"direct";"19k5554njc";"CS";"2";62;"2549";"2_3/CS7"
"1243";189;"direct";"19k5554njc";"CS";"4";-81;"2174";"4_3/CS11"
"1244";190;"direct";"19k5554njc";"CS";"3";26;"3012";"3_3/CS5"
"1245";191;"direct";"19k5554njc";"CS";"3";67;"2606";"3_3/CS6"
"1246";192;"direct";"19k5554njc";"CS";"4";-90;"2128";"4_3/CS6"
"1247";193;"direct";"19k5554njc";"CS";"1";67;"2508";"1_3/CS8"
"1248";194;"direct";"19k5554njc";"CS";"2";15;"2414";"2_3/CS1"
"1249";195;"direct";"19k5554njc";"CS";"1";-14;"3035";"1_3/CS9"
"1250";196;"direct";"19k5554njc";"CS";"2";-64;"2188";"2_3/CS8"
"1251";197;"direct";"19k5554njc";"CS";"1";100;"2486";"1_3/CS6"
"1252";198;"direct";"19k5554njc";"CS";"1";100;"2754";"1_3/CS2"
"1253";199;"direct";"19k5554njc";"CS";"1";100;"2552";"1_3/CS3"
"1254";200;"direct";"19k5554njc";"CS";"4";-100;"2581";"4_3/CS4"
"1255";201;"direct";"19k5554njc";"CS";"2";49;"2618";"2_3/CS5"
"1256";202;"direct";"19k5554njc";"CS";"2";64;"2064";"2_3/CS10"
"1257";203;"direct";"19k5554njc";"CS";"3";-19;"2405";"3_3/CS3"
"1258";204;"direct";"19k5554njc";"CS";"1";91;"2503";"1_3/CS5"
"1259";205;"direct";"19k5554njc";"CS";"4";21;"3146";"4_3/CS2"
"1260";206;"direct";"19k5554njc";"CS";"2";-29;"2283";"2_3/CS6"
"1261";207;"direct";"19k5554njc";"CS";"4";-97;"2253";"4_3/CS10"
"1262";208;"direct";"19k5554njc";"CS";"3";-46;"4344";"3_3/CS7"
